iter	Passed	Remaining
661	2462	141
662	2466	137
663	2469	133
664	2473	130
665	2477	126
666	2480	122
667	2483	118
668	2487	115
669	2490	111
670	2493	107
671	2496	104
672	2500	100
673	2503	96
674	2506	92
675	2509	89
676	2513	85
677	2516	81
678	2520	77
679	2522	74
680	2526	70
681	2529	66
682	2532	63
683	2535	59
684	2538	55
685	2541	51
686	2544	48
687	2547	44
688	2551	40
689	2554	37
690	2557	33
691	2561	29
692	2564	25
693	2567	22
694	2570	18
695	2573	14
696	2577	11
697	2580	7
698	2584	3
699	2587	0
